month,cpi,oil_nominal,gas_nominal,diesel_nominal
April 2000,1.7090000000,24.2900000000,1.4647500000,1.4220000000
May 2000,1.7120000000,26.3500000000,1.4868000000,1.4200000000
June 2000,1.7220000000,28.9100000000,1.6332500000,1.4210000000
July 2000,1.7270000000,28.0000000000,1.5510000000,1.4340000000
August 2000,1.7270000000,28.8000000000,1.4645000000,1.4660000000
September 2000,1.7360000000,30.5600000000,1.5502500000,1.6370000000
October 2000,1.7390000000,29.7100000000,1.5322000000,1.6370000000
November 2000,1.7420000000,30.0000000000,1.5172500000,1.6210000000
December 2000,1.7460000000,25.1900000000,1.4427500000,1.5650000000
January 2001,1.7560000000,24.4900000000,1.4472000000,1.5240000000
February 2001,1.7600000000,24.9700000000,1.4497500000,1.4920000000
March 2001,1.7610000000,23.0100000000,1.4092500000,1.3990000000
April 2001,1.7640000000,22.9900000000,1.5516000000,1.4220000000
May 2001,1.7730000000,24.6300000000,1.7017500000,1.4960000000
June 2001,1.7770000000,23.9500000000,1.6162500000,1.4820000000
July 2001,1.7740000000,22.7600000000,1.4206000000,1.3750000000
August 2001,1.7740000000,23.7700000000,1.4207500000,1.3900000000
September 2001,1.7810000000,22.5100000000,1.5215000000,1.4950000000
October 2001,1.7760000000,18.7600000000,1.3154000000,1.3500000000
November 2001,1.7750000000,16.0600000000,1.1705000000,1.2590000000
December 2001,1.7740000000,15.9500000000,1.0860000000,1.1680000000
January 2002,1.7770000000,17.0400000000,1.1072500000,1.1500000000
February 2002,1.7800000000,18.2400000000,1.1137500000,1.1520000000
March 2002,1.7850000000,22.2900000000,1.2492500000,1.2300000000
April 2002,1.7930000000,23.9800000000,1.3970000000,1.3090000000
May 2002,1.7950000000,24.4400000000,1.3917500000,1.3050000000
June 2002,1.7960000000,23.4500000000,1.3822500000,1.2860000000
July 2002,1.8000000000,24.9900000000,1.3970000000,1.2990000000
August 2002,1.8050000000,25.6800000000,1.3957500000,1.3300000000
September 2002,1.8080000000,27.1400000000,1.3996000000,1.4110000000
October 2002,1.8120000000,25.9900000000,1.4452500000,1.4620000000
November 2002,1.8150000000,23.6800000000,1.4190000000,1.4200000000
December 2002,1.8180000000,26.6800000000,1.3858000000,1.4280000000
